Date,Description,Value
2024-12-01,174 to kottawa,80
2024-12-02,photocopy,155
2024-12-02,gym,3000
2024-12-04,174 to kottawa,90
2024-12-08,174 to ecu,88
2024-12-11,174 to ecu,87
2024-12-11,ecu fried rice,650
2024-12-11,milk packet,140
2024-12-11,174 to kottawa,90
2024-12-11,128 to kottawa,40
2024-12-12,174 to kottawa,90
2024-12-12,128 to home,40
2024-12-14,haircut,1000
2024-12-15,174 to ecu,90
2024-12-15,chicken bun,165
2024-12-18,174 to kottawa,90
2024-12-18,2 muffins,500
2024-12-18,174 to ecu,90
2024-12-18,128 to kottawa,40
2024-12-18,3 wheeler to home,300
